tarih,site,Ortalama_Fiyat,Ortalama_Indirim,Urun_Sayisi
2026-04-28,Derimod,4102.47,21.69,736
2026-04-28,FLO,2553.44,1.23,133
2026-05-06,Ayakkabı Dünyası,3985.38,0.0,765
2026-05-06,Derimod,3937.03,22.39,736
2026-05-06,FLO,2601.96,1.11,131
2026-05-11,InStreet,3655.73,0.93,30
2026-05-17,Ayakkabı Dünyası,4083.06,0.0,797
2026-05-17,Derimod,4576.33,10.82,744
2026-05-17,InStreet,3588.36,0.0,28
2026-05-20,Ayakkabı Dünyası,4081.92,0.0,795
2026-05-20,Derimod,4584.4,10.67,744
2026-05-20,InStreet,3585.28,0.97,29
2026-05-26,Ayakkabı Dünyası,4028.51,0.0,534
2026-05-26,Derimod,4642.02,9.2,320
2026-05-26,InStreet,3843.04,0.0,25
2026-06-18,FLO,2828.19,1.24,142
2026-06-20,FLO,2936.29,1.4,144
2026-06-21,Ayakkabı Dünyası,4051.57,0.0,522
2026-06-21,Derimod,4011.03,22.87,384
2026-06-21,FLO,2962.15,0.9,142
2026-06-21,InStreet,3380.36,0.93,25
